taxon	Phylum	Genus
Actinomycetaceae	Actinobacteria	Actinomycetaceae
Aerococcus	Bacilli	Aerococcus
Aeromonas	Proteobacteria	Aeromonas
Akkermansia	Verrucomicrobia	Akkermansia
Alcaligenes faecalis et rel.	Proteobacteria	Alcaligenes faecalis et rel.
Allistipes et rel.	Bacteroidetes	Allistipes et rel.
Anaerobiospirillum	Proteobacteria	Anaerobiospirillum
Anaerofustis	Clostridium cluster XV	Anaerofustis
Anaerostipes caccae et rel.	Clostridium cluster XIVa	Anaerostipes caccae et rel.
Anaerotruncus colihominis et rel.	Clostridium cluster IV	Anaerotruncus colihominis et rel.
Anaerovorax odorimutans et rel.	Clostridium cluster XI	Anaerovorax odorimutans et rel.
Aneurinibacillus	Bacilli	Aneurinibacillus
Aquabacterium	Proteobacteria	Aquabacterium
Asteroleplasma et rel.	Asteroleplasma	Asteroleplasma et rel.
Atopobium	Actinobacteria	Atopobium
Bacillus	Bacilli	Bacillus
Bacteroides fragilis et rel.	Bacteroidetes	Bacteroides fragilis et rel.
Bacteroides intestinalis et rel.	Bacteroidetes	Bacteroides intestinalis et rel.
Bacteroides ovatus et rel.	Bacteroidetes	Bacteroides ovatus et rel.
Bacteroides plebeius et rel.	Bacteroidetes	Bacteroides plebeius et rel.
Bacteroides splachnicus et rel.	Bacteroidetes	Bacteroides splachnicus et rel.
Bacteroides stercoris et rel.	Bacteroidetes	Bacteroides stercoris et rel.
Bacteroides uniformis et rel.	Bacteroidetes	Bacteroides uniformis et rel.
Bacteroides vulgatus et rel.	Bacteroidetes	Bacteroides vulgatus et rel.
Bifidobacterium	Actinobacteria	Bifidobacterium
Bilophila et rel.	Proteobacteria	Bilophila et rel.
Brachyspira	Spirochaetes	Brachyspira
Bryantella formatexigens et rel.	Clostridium cluster XIVa	Bryantella formatexigens et rel.
Bulleidia moorei et rel.	Clostridium cluster XVI	Bulleidia moorei et rel.
Burkholderia	Proteobacteria	Burkholderia
Butyrivibrio crossotus et rel.	Clostridium cluster XIVa	Butyrivibrio crossotus et rel.
Campylobacter	Proteobacteria	Campylobacter
Catenibacterium mitsuokai et rel.	Clostridium cluster XVII	Catenibacterium mitsuokai et rel.
Clostridium (sensu stricto)	Clostridium cluster I	Clostridium (sensu stricto)
Clostridium cellulosi et rel.	Clostridium cluster IV	Clostridium cellulosi et rel.
Clostridium colinum et rel.	Clostridium cluster XIVa	Clostridium colinum et rel.
Clostridium difficile et rel.	Clostridium cluster XI	Clostridium difficile et rel.
Clostridium felsineum et rel.	Clostridium cluster XI	Clostridium felsineum et rel.
Clostridium leptum et rel.	Clostridium cluster IV	Clostridium leptum et rel.
Clostridium nexile et rel.	Clostridium cluster XIVa	Clostridium nexile et rel.
Clostridium orbiscindens et rel.	Clostridium cluster IV	Clostridium orbiscindens et rel.
Clostridium ramosum et rel.	Clostridium cluster XVIII	Clostridium ramosum et rel.
Clostridium sphenoides et rel.	Clostridium cluster XIVa	Clostridium sphenoides et rel.
Clostridium stercorarium et rel.	Clostridium cluster III	Clostridium stercorarium et rel.
Clostridium symbiosum et rel.	Clostridium cluster XIVa	Clostridium symbiosum et rel.
Clostridium thermocellum et rel.	Clostridium cluster III	Clostridium thermocellum et rel.
