organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Caenorhabditis briggsae	6238	PRJNA10731	10731	Animals	Roundworms	108.384	37.6966	GCA_000004555.3	chromosome I:FR847112.2; chromosome II:FR847113.2; chromosome III:FR847114.2; chromosome IV:FR847118.2; chromosome V:FR847121.2; chromosome X:FR847123.2	CAAC03	638	22736	21959	2002-08-22	2015-04-10	Chromosome	The C.briggsae Sequencing Consortium	SAMEA3138181
Caenorhabditis elegans	6239	PRJNA13758	13758	Animals	Roundworms	100.286	35.4317	GCA_000002985.3	chromosome I:NC_003279.8/BX284601.5; chromosome II:NC_003280.10/BX284602.5; chromosome III:NC_003281.10/BX284603.4; chromosome IV:NC_003282.8/BX284604.4; chromosome V:NC_003283.11/BX284605.5; chromosome X:NC_003284.9/BX284606.5; mitochondrion MT:NC_001328.1/X54252.1	NA	7	46733	28167	2001-12-03	2017-10-11	Complete Genome	C. elegans Sequencing Consortium	SAMEA3138177
Brugia malayi	6279	PRJNA10729	10729	Animals	Roundworms	93.6591	31.499	GCA_000002995.2	mitochondrion MT:NC_004298.1/AF538716.1	AAQA01	24286	11441	11472	2002-09-25	2016-07-24	Scaffold	WormBase group, EBI	SAMN02953652
Aedes aegypti	7159	PRJNA392114	392114	Animals	Insects	1278.73	38.1667	GCA_002204515.1	chromosome 1:NC_035107.1/CM008043.1; chromosome 2:NC_035108.1/CM008044.1; chromosome 3:NC_035109.1/CM008045.1; mitochondrion MT:NC_035159.1/MF194022.1	NIGP01	2310	19339	28317	2017-06-15	2017-06-23	Chromosome	NCBI	SAMN07177802
Aedes albopictus	7160	PRJNA357111	357111	Animals	Insects	2247.31	40.3999	GCA_001876365.2	mitochondrion MT:NC_006817.1/AY072044.1	MNAF02	2435	38274	42912	2016-11-10	2017-01-24	Contig	NCBI	SAMN05908721
Anopheles gambiae str. PEST	180454	PRJNA1438	1438	Animals	Insects	265.027	44.5151	GCA_000005575.1	chromosome X:NC_004818.2/CM000360.1; chromosome 2R:NT_078266.2/CM000357.1; chromosome 3R:NT_078268.4/CM000359.1; chromosome 2L:NT_078265.2/CM000356.1; chromosome 3L:NT_078267.5/CM000358.1; mitochondrion MT:NC_002084.1/L20934.1	AAAB01	8145	13184	14099	2002-03-22	2011-09-28	Chromosome	The International Consortium for the Sequencing of Anopheles Genome	SAMN02952903
Drosophila melanogaster	7227	PRJNA13669	13669	Animals	Insects	143.726	42.0803	GCA_000001215.4	chromosome X:NC_004354.4/AE014298.5; chromosome 2L:NT_033779.5/AE014134.6; chromosome 2R:NT_033778.4/AE013599.5; chromosome 3L:NT_037436.4/AE014296.5; chromosome 3R:NT_033777.3/AE014297.3; chromosome 4:NC_004353.4/AE014135.4; chromosome Y:NC_024512.1/CP007106.1; mitochondrion MT:NC_024511.2/KJ947872.2	NA	1870	17682	30482	2002-04-30	2017-03-14	Chromosome	Department of Biochemistry, Michigan State University	SAMN02803731
Apis mellifera	7460	PRJNA10625	10625	Animals	Insects	250.287	34.1338	GCA_000002195.1	linkage group LG1:NC_007070.3/CM000054.5; linkage group LG2:NC_007071.3/CM000055.5; linkage group LG3:NC_007072.3/CM000059.5; linkage group LG4:NC_007073.3/CM000060.5; linkage group LG5:NC_007074.3/CM000058.5; linkage group LG6:NC_007075.3/CM000056.5; linkage group LG7:NC_007076.3/CM000063.5; linkage group LG8:NC_007077.3/CM000061.5; linkage group LG9:NC_007078.3/CM000062.5; linkage group LG10:NC_007079.3/CM000068.5; linkage group LG11:NC_007080.3/CM000057.5; linkage group LG12:NC_007081.3/CM000067.5; linkage group LG13:NC_007082.3/CM000064.5; linkage group LG14:NC_007083.3/CM000065.5; linkage group LG15:NC_007084.3/CM000066.5; linkage group LG16:NC_007085.3/CM000069.5; mitochondrion MT:NC_001566.1/L06178.1	AADG06	5645	13885	22456	2003-12-19	2014-08-04	Chromosome	Human Genome Sequencing Center	SAMN00002455
Ciona intestinalis	7719	PRJDA65419	65419	Animals	Other Animals	115.227	36.0218	GCA_000224145.2	chromosome 1:NC_020166.2/HT000001.2; chromosome MT:HT000188.1; chromosome 2:NC_020167.2/HT000007.2; chromosome 3:NC_020168.2/HT000008.2; chromosome 4:NC_020169.2/HT000009.2; chromosome 5:NC_020170.2/HT000010.2; chromosome 6:NC_020171.2/HT000011.2; chromosome 7:NC_020172.2/HT000012.2; chromosome 8:NC_020173.2/HT000013.2; chromosome 9:NC_020174.2/HT000014.2; chromosome 10:NC_020175.2/HT000002.2; chromosome 11:NC_020176.2/HT000003.2; chromosome 12:NC_020177.2/HT000004.2; chromosome 13:NC_020178.2/HT000005.2; chromosome 14:NC_020179.2/HT000006.2; mitochondrion MT:NC_004447.2/AJ517314.2	EAAA01	1280	15172	18961	2011-04-27	2011-04-27	Chromosome	Organization: Department of Zoology, Graduate School of	NA
Danio rerio	7955	PRJNA11776	11776	Animals	Fishes	1679.2	36.6374	GCA_000002035.4	chromosome 1:NC_007112.7/CM002885.2; chromosome 2:NC_007113.7/CM002886.2; chromosome 3:NC_007114.7/CM002887.2; chromosome 4:NC_007115.7/CM002888.2; chromosome 5:NC_007116.7/CM002889.2; chromosome 6:NC_007117.7/CM002890.2; chromosome 7:NC_007118.7/CM002891.2; chromosome 8:NC_007119.7/CM002892.2; chromosome 9:NC_007120.7/CM002893.2; chromosome 10:NC_007121.7/CM002894.2; chromosome 11:NC_007122.7/CM002895.2; chromosome 12:NC_007123.7/CM002896.2; chromosome 13:NC_007124.7/CM002897.2; chromosome 14:NC_007125.7/CM002898.2; chromosome 15:NC_007126.7/CM002899.2; chromosome 16:NC_007127.7/CM002900.2; chromosome 17:NC_007128.7/CM002901.2; chromosome 18:NC_007129.7/CM002902.2; chromosome 19:NC_007130.7/CM002903.2; chromosome 20:NC_007131.7/CM002904.2; chromosome 21:NC_007132.7/CM002905.2; chromosome 22:NC_007133.7/CM002906.2; chromosome 23:NC_007134.7/CM002907.2; chromosome 24:NC_007135.7/CM002908.2; chromosome 25:NC_007136.7/CM002909.2; mitochondrion MT:NC_002333.2/AC024175.3	NA	2848	46998	57100	2005-07-05	2017-06-26	Chromosome	Genome Reference Consortium	SAMN06930106
